"Featureid","tubeID","IndID","NestID","SampleForm","VisualInsp","TEFPCR","FSSC","FSSC_strains","FSSCAbundance","Stage","FSSC2"
"Ext-Blank1","ExtBlank1","ExtBlank1","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Ext-Blank2","ExtBlank2","ExtBlank2","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Ext-Blank3","ExtBlank3","ExtBlank3","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Ext-Blank4","ExtBlank4","ExtBlank4","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"ExtBlank1","ExtBlank1_22","ExtBlank1_22","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"ExtBlank2","ExtBlank2_22","ExtBlank2_22","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Field-blank1","Field-blank1","Field-blank1","None","Blank","FieldBlank","FieldBlank","NA","NA","NA","Blank","NA"
"Field-blank2","Field-blank2","Field-blank2","None","Blank","FieldBlank","FieldBlank","NA","NA","NA","Blank","NA"
"Field-blank3","Field-blank3","Field-blank3","None","Blank","FieldBlank","FieldBlank","NA","NA","NA","Blank","NA"
"1001","Pu.ACN3H1","H1N3","N10","Egg","EviUn","EFiNeg",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"1003","Pu.ACN3H2","H2N3","N10","Egg","EviH","EFiNeg",1,1,2,"HatchedEgg","FSSC_Infected"
"101","Pu.ACN1H1","H1N1","N1","Egg","EviH","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"110","Pu.ACN1H2","H2N1","N1","Egg","EviH","EFiNeg",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"1101I","Pu.NHE26_Int","NHE26","N11","Egg","EviUn","EFiPos","NA","NA",0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1103","Pu.NHE97","NHE97","N11","Egg","EviUn","EFiPos",1,2,23114,"UnhatchedEggED","FSSC_Infected"
"1104","Pu.NHE98","NHE98","N11","Egg","EviH","EFiPos",0,0,0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"113","Pu.ACN1H3","H3N1","N1","Egg","EviH","EFiPos",1,1,5725,"HatchedEgg","FSSC_Infected"
"1201-E-264","Pu.NHE33_Ext","NHE33","12","Egg","EviUn","EFiPos",1,4,17265,"UnhatchedEggED","FSSC_Infected"
"1202-264","Pu.NHE34","NHE34","12","Egg","EviUn","EFiPos",1,1,12583,"UnhatchedEggED","FSSC_Infected"
"125","Pu.NHE1","NHE01","N1","Egg","EviH","EFiPos",1,3,16033,"UnhatchedEggED","FSSC_Infected"
"126","Pu.NHE2","NHE2","N1","Egg","EviUn","EFiPos",1,1,16189,"UnhatchedEggED","FSSC_Infected"
"127","Pu.NHE3","NHE03","N1","Egg","EviUn","EFiPos",1,2,3810,"UnhatchedEggED","FSSC_Infected"
"1301","H1N5","H1N5","N13","Egg","EviH","EFiNeg",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"1304","Pu.NHE12","NHE12","N13","Egg","EviH","EFiNeg",0,0,0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"1305-I-22","Pu.NHE13_Ext","NHE13","N13","Egg","EviUn","EFiNeg",1,1,24,"UnhatchedEggED","FSSC_Infected"
"1306","Pu.NHE14","NHE14","N13","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1307-367","Pu.NHE36","NHE36","N13","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1308-358","Pu.NHE54","NHE54","N13","Egg","EviUn","EFiNeg",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1401","Pu.NHE5","NHE5","14","Egg","EviUn","EFiPos",1,4,9406,"UnhatchedEggED","FSSC_Infected"
"1402","Pu.NHE6","NHE6","14","Egg","EviUn","EFiNeg","NA","NA",0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1403","Pu.NHE7","NHE07","14","Egg","EviUn","EFiPos",1,1,10,"UnhatchedEggLD","FSSC_Infected"
"1501","H1N7","H1N7","N15","Egg","EviH","EFiPos",1,1,4906,"HatchedEgg","FSSC_Infected"
"1504","H2N7","H2N7","N15","Egg","EviH","EFiPos",1,1,7967,"HatchedEgg","FSSC_Infected"
"1506-E","NHE35_Ext","NHE35","N15","Egg","EviUn","EFiPos",1,1,21,"UnhatchedEggED","FSSC_Infected"
"1507","NHE61","NHE61","N15","Egg","EviH","EFiNeg",1,1,1,"UnhatchedEggLD","FSSC_Infected"
"1508","NHE62","NHE62","N15","Egg","EviUn","EFiPos",1,1,14350,"UnhatchedEggED","FSSC_Infected"
"1509","NHE63","NHE63","N15","Egg","EviUn","EFiPos","NA","NA",0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1601","H1N8","H1N8","N16","Egg","EviUn","EFiPos",1,3,20604,"HatchedEgg","FSSC_Infected"
"1603-E","Pu.NHE57_Ext","NHE57","N16","Egg","EviUn","EFiNeg",1,1,12,"UnhatchedEggLD","FSSC_Infected"
"1604-340","Pu.NHE78","NHE78","N16","Egg","EviUn","EFiPos",1,5,16358,"UnhatchedEggED","FSSC_Infected"
"1701","Pu.NHE56","NHE56","N17","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"1702","Pu.NHE77","NHE77","N17","Egg","EviUn","EFiPos","NA","NA",0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1801-L","Pu.NHE55_L","NHE55","18","Egg","EviH","EFiNeg",1,1,1,"UnhatchedEggLD","FSSC_Infected"
"1901-I-367","Pu.NHE20_Int","NHE20","19","Egg","EviUn","EFiPos",1,2,18841,"UnhatchedEggED","FSSC_Infected"
"1902","Pu.NHE21","NHE21","19","Egg","EviUn","EFiPos",1,2,15853,"UnhatchedEggED","FSSC_Infected"
"2001-E","Pu.NHE24_Ext","NHE24","20","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2002","Pu.NHE25_Int","NHE25","20","Egg","EviUn","EFiNeg",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2003","Pu.NHE42","NHE42","20","Egg","EviH","EFiNeg","NA","NA",0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2004","Pu.NHE43","NHE43","20","Egg","EviUn","EFiPos",1,1,5988,"UnhatchedEggED","FSSC_Infected"
"201","Pu.NHE99","NHE99","2","Egg","EviUn","EFiPos",1,2,18948,"UnhatchedEggED","FSSC_Infected"
"203","Pu.NHE101","NHE101","2","Egg","EviH","EFiNeg","NA","NA",0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"2101","Pu.NHE48_Int","NHE48","21","Egg","EviUn","EFiPos",1,1,32,"UnhatchedEggED","FSSC_Infected"
"2102","Pu.NHE49","NHE49","21","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2103","Pu.NHE50","NHE50","21","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2201","Pu.ACN2H1","H1N2","N22","Egg","EviH","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2210","Pu.ACN2H2","H2N2","N22","Egg","EviH","EFiNeg",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"2219","Pu.ACN2H3","H3N2","N22","Egg","EviH","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2222","Pu.ACN2H4","H4N2","N22","Egg","EviH","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
