"Featureid2","Featureid","tubeID","IndID","NestID","SampleForm","VisualInsp","TEFPCR","FSSC","FSSC_strains","FSSCAbundance","Stage","FSSC2"
"Ext-Blank2-19-ITS","ExtBlank2-19","ExtBlank2-19","ExtBlank2-19","None","Blank","ExtBlank","ExtBlank","NA","NA",0,"Blank","PCR(-)/NoFSSC"
"Ext-Blank3-19-ITS","ExtBlank3-19","ExtBlank3-19","ExtBlank3-19","None","Blank","ExtBlank","ExtBlank","NA","NA",0,"Blank","PCR(-)/NoFSSC"
"EXTBLANK1-19-ITS","ExtBlank1-19","ExtBlank1-19","ExtBlank1-19","None","Blank","ExtBlank","ExtBlank","NA","NA",0,"Blank","PCR(-)/NoFSSC"
"ExtBlank1-21-ITS","ExtBlank1-21","ExtBlank1-21","ExtBlank1-21","None","Blank","ExtBlank","ExtBlank","NA","NA",0,"Blank","PCR(-)/NoFSSC"
"EXTBLANK6-19-ITS","ExtBlank6-19","ExtBlank6-19","ExtBlank6-19","None","Blank","ExtBlank","ExtBlank","NA","NA",0,"Blank","PCR(-)/NoFSSC"
"Extr-BlANK4-19-ITS","ExtrBlank4-19","ExtrBlank4-19","ExtrBlank4-19","None","Blank","ExtBlank","ExtBlank","NA","NA",0,"Blank","PCR(-)/NoFSSC"
"Fieldblank1-ITS","Field-blank1","Field-blank1","Field-blank1","None","Blank","FieldBlank","FieldBlank","NA","NA",0,"Blank","PCR(-)/NoFSSC"
"Fieldblank2-ITS","Field-blank2","Field-blank2","Field-blank2","None","Blank","FieldBlank","FieldBlank","NA","NA",0,"Blank","PCR(-)/NoFSSC"
"Fieldblank3-ITS","Field-blank3","Field-blank3","Field-blank3","None","Blank","FieldBlank","FieldBlank","NA","NA",0,"Blank","PCR(-)/NoFSSC"
"1003-ITS","1003","Pu.ACN3H2","H2N3","N10","Egg","EviH","EFiNeg",1,1,2,"HatchedEgg","FSSC_Infected"
"101-ITS","101","Pu.ACN1H1","H1N1","N1","Egg","EviH","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"110-ITS","110","Pu.ACN1H2","H2N1","N1","Egg","EviH","EFiNeg",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"1101E-ITS","1101E","Pu.NHE26_Ext","NHE26","N11","Egg","EviUn","EFiPos",1,2,552,"UnhatchedEggED","FSSC_Infected"
"1102-ITS","1102","Pu.NHE96","NHE96","N11","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1103-ITS","1103","Pu.NHE97","NHE97","N11","Egg","EviUn","EFiPos",1,2,23114,"UnhatchedEggED","FSSC_Infected"
"1104-ITS","1104","Pu.NHE98","NHE98","N11","Egg","EviH","EFiPos",0,0,0,"UnhatchedEggLD","PCR(-)/NoFSSC"
